"terminal","clase_vehiculo","nivel_servicio","municipio_origen_ruta","municipio_destino_ruta","fecha_despacho","hora_despacho","tipo_despacho","despachos","pasajeros"
"T.T. DE BUCARAMANGA","BUS","LUJO","68001","68081","2022-12-03T00:00:00.000","05","ORIGEN","1","4"
"T.T. DE TUNJA","BUS","LUJO","11001","15759","2022-11-08T00:00:00.000","01","TRANSITO","1","8"
"T.T. DE APARTADÓ","AUTOMOVIL","LUJO","05045","05837","2022-04-10T00:00:00.000","12","ORIGEN","1","4"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","86001","86571","2022-06-23T00:00:00.000","05","TRANSITO","1","8"
"T.T. DE BOGOTÁ NORTE","BUSETA","LUJO","11001","25295","2022-05-03T00:00:00.000","18","ORIGEN","1","2"
"T.T. DE BUGA","MICROBUS","LUJO","76111","76834","2022-10-18T00:00:00.000","15","ORIGEN","1","14"
"T.T. DE SOGAMOSO","MICROBUS","LUJO","15759","15238","2022-08-17T00:00:00.000","05","ORIGEN","2","5"
"T.T. DE GARZÓN","BUS","BASICO","08433","52835","2022-05-09T00:00:00.000","22","TRANSITO","1","14"
"T.T. DE PEREIRA","BUSETA","LUJO","66001","66682","2022-11-03T00:00:00.000","06","ORIGEN","1","1"
"T.T. DE PEREIRA","BUSETA","LUJO","66001","66682","2022-11-03T00:00:00.000","06","ORIGEN","1","1"
"T.T. DE PEREIRA","BUSETA","LUJO","66001","66682","2022-11-03T00:00:00.000","06","ORIGEN","1","1"
"T.T. DE PEREIRA","BUSETA","LUJO","66001","66682","2022-11-03T00:00:00.000","06","ORIGEN","1","1"
"T.T. DE PEREIRA","BUSETA","LUJO","66001","66682","2022-11-03T00:00:00.000","06","ORIGEN","1","1"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","76122","2022-07-27T00:00:00.000","18","ORIGEN","1","19"
"T.T. DE ARMENIA","BUS","LUJO","11001","66001","2022-12-23T00:00:00.000","23","TRANSITO","1","0"
"T.T. DE CHIQUINQUIRÁ","MICROBUS","LUJO","11001","68077","2022-03-27T00:00:00.000","11","TRANSITO","1","2"
"T.T. DE BOGOTÁ SUR","BUS","LUJO","11001","25307","2022-01-01T00:00:00.000","11","TRANSITO","1","30"
"T.T. DE CHIQUINQUIRÁ","MICROBUS","LUJO","15176","15001","2022-07-01T00:00:00.000","18","ORIGEN","1","0"
"T.T. DE CHIQUINQUIRÁ","MICROBUS","LUJO","15176","15001","2022-07-01T00:00:00.000","18","ORIGEN","1","0"
"T.T. DE CHIQUINQUIRÁ","MICROBUS","LUJO","15176","15001","2022-07-01T00:00:00.000","18","ORIGEN","1","0"
"T.T. DE IBAGUÉ","BUS","BASICO","73001","25307","2022-01-13T00:00:00.000","16","ORIGEN","1","22"
"T.T. DE CÚCUTA","BUS","LUJO","54001","54239","2022-07-05T00:00:00.000","13","ORIGEN","1","2"
"T.T. DE PASTO","BUS","BASICO","52356","76001","2022-05-17T00:00:00.000","20","TRANSITO","1","14"
"T.T. DE BOGOTÁ NORTE","MICROBUS","LUJO","11001","68077","2022-02-22T00:00:00.000","09","TRANSITO","1","9"
"T.T. DE VALLEDUPAR","AUTOMOVIL","LUJO","20001","20178","2022-09-14T00:00:00.000","15","ORIGEN","1","4"
"T.T. DE VALLEDUPAR","AUTOMOVIL","LUJO","20001","20178","2022-09-14T00:00:00.000","15","ORIGEN","1","4"
"T.T. DE SOGAMOSO","BUS","LUJO","85001","11001","2022-01-30T00:00:00.000","20","TRANSITO","1","40"
"T.T. DE TULÚA","BUS","LUJO","11001","76001","2022-12-18T00:00:00.000","05","TRANSITO","1","38"
"T.T. DE BOGOTÁ NORTE","BUS","LUJO","11001","25772","2022-01-11T00:00:00.000","05","ORIGEN","1","2"
"T.T. DE BOGOTÁ NORTE","BUS","LUJO","11001","25772","2022-01-11T00:00:00.000","05","ORIGEN","1","2"
"T.T. DE BOGOTÁ NORTE","BUS","LUJO","11001","25772","2022-01-11T00:00:00.000","05","ORIGEN","1","2"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15814","2022-08-07T00:00:00.000","14","ORIGEN","1","6"
"T.T. DE PEREIRA","BUSETA","LUJO","66001","63272","2022-06-11T00:00:00.000","16","ORIGEN","1","16"
"T.T. DE CARTAGENA","BUS","LUJO","13001","13433","2022-04-09T00:00:00.000","14","ORIGEN","1","20"
"T.T. DE MONTERÍA","BUS","LUJO","23001","05154","2022-02-25T00:00:00.000","06","ORIGEN","1","5"
"T.T. DE ARMENIA","MICROBUS","LUJO","63001","76122","2022-12-08T00:00:00.000","18","ORIGEN","1","6"
"T.T. DE BUCARAMANGA","BUSETA","BASICO","68001","68679","2022-01-16T00:00:00.000","20","ORIGEN","1","6"
"T.T. DE GARZÓN","MICROBUS","BASICO","08433","52835","2022-06-10T00:00:00.000","15","TRANSITO","1","2"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","05380","86001","2022-09-27T00:00:00.000","18","ORIGEN","1","9"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","05380","86001","2022-09-27T00:00:00.000","18","ORIGEN","1","9"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15051","2022-06-18T00:00:00.000","12","ORIGEN","1","0"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15051","2022-06-18T00:00:00.000","12","ORIGEN","1","0"
"T.T. DE PITALITO","CAMIONETA","LUJO","41551","41001","2022-06-24T00:00:00.000","12","ORIGEN","1","5"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05042","2022-06-24T00:00:00.000","11","ORIGEN","1","22"
"T.T. DE PASTO","CAMPERO","BASICO","52001","52838","2022-06-25T00:00:00.000","11","ORIGEN","1","9"
"T.T. DE BUCARAMANGA","CAMIONETA","BASICO","68001","54518","2022-06-23T00:00:00.000","17","ORIGEN","1","1"
"T.T. DE BARRANQUILLA","BUS","LUJO","08001","44430","2022-06-07T00:00:00.000","03","ORIGEN","1","1"
"T.T. DE CALI","BUS","BASICO","76001","47570","2022-06-24T00:00:00.000","15","ORIGEN","1","3"
"T.T. DE ARMENIA","MICROBUS","LUJO","17001","76736","2022-08-01T00:00:00.000","09","TRANSITO","1","7"
"T.T. DE CÚCUTA","BUS","LUJO","54001","54172","2022-05-24T00:00:00.000","09","ORIGEN","1","16"
"T.T. DE AGUAZUL","BUSETA","LUJO","85410","85001","2022-07-03T00:00:00.000","10","TRANSITO","1","5"
"T.T. DE CALI","MICROBUS","BASICO","76001","66001","2022-05-23T00:00:00.000","19","ORIGEN","1","5"
"T.T. DE ESPINAL","BUS","LUJO","76001","41001","2022-03-21T00:00:00.000","23","TRANSITO","1","0"
"T.T. DE APARTADÓ","CAMPERO","LUJO","05045","05045","2022-09-11T00:00:00.000","15","ORIGEN","1","5"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","68077","2022-07-01T00:00:00.000","10","ORIGEN","1","6"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","15759","2022-02-17T00:00:00.000","10","ORIGEN","1","14"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15176","2022-10-22T00:00:00.000","07","ORIGEN","1","15"
"T.T. DE POPAYÁN","MICROBUS","BASICO","76001","52001","2022-01-18T00:00:00.000","11","TRANSITO","2","22"
"T.T. DE OCAÑA","CAMIONETA","BASICO","54498","54003","2022-02-02T00:00:00.000","17","ORIGEN","1","5"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05002","2022-08-14T00:00:00.000","06","ORIGEN","1","25"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15537","2022-06-29T00:00:00.000","16","ORIGEN","1","6"
"T.T. DE SOGAMOSO","MICROBUS","LUJO","15759","15466","2022-10-09T00:00:00.000","11","ORIGEN","1","0"
"T.T. DE IBAGUÉ","CAMPERO","BASICO","73001","73624","2022-05-22T00:00:00.000","14","ORIGEN","1","9"
"T.T. DE HONDA","MICROBUS","LUJO","17433","17380","2022-03-30T00:00:00.000","09","TRANSITO","1","6"
"T.T. DE BOGOTÁ SALITRE","BUSETA","LUJO","11001","25878","2022-08-23T00:00:00.000","08","ORIGEN","1","7"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-17T00:00:00.000","14","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-12-17T00:00:00.000","14","ORIGEN","1","0"
"T.T. DE PASTO","MICROBUS","BASICO","52001","52612","2022-02-14T00:00:00.000","14","ORIGEN","1","19"
"T.T. DE PEREIRA","MICROBUS","LUJO","66001","66682","2022-11-17T00:00:00.000","16","ORIGEN","1","0"
"T.T. DE CALI","BUS","BASICO","76001","47570","2022-02-21T00:00:00.000","17","ORIGEN","1","1"
"T.T. DE SOGAMOSO","MICROBUS","LUJO","15759","15001","2022-10-08T00:00:00.000","05","ORIGEN","1","17"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63401","2022-11-08T00:00:00.000","11","ORIGEN","1","9"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15001","2022-11-11T00:00:00.000","18","ORIGEN","1","10"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","25875","2022-03-31T00:00:00.000","20","ORIGEN","1","3"
"T.T. DE HONDA","BUS","LUJO","76001","20001","2022-03-10T00:00:00.000","04","TRANSITO","1","3"
"T.T. DE IBAGUÉ","MICROBUS","LUJO","41001","73349","2022-04-24T00:00:00.000","13","TRANSITO","1","0"
"T.T. DE PASTO","BUS","BASICO","52356","76001","2022-05-11T00:00:00.000","23","TRANSITO","1","10"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","17380","2022-12-19T00:00:00.000","09","ORIGEN","1","8"
"T.T. DE MONTERÍA","BUS","LUJO","23001","23466","2022-05-01T00:00:00.000","17","ORIGEN","1","10"
"T.T. DE PITALITO","MICROBUS","LUJO","41551","76001","2022-05-20T00:00:00.000","22","ORIGEN","1","17"
"T.T. DE CALI","MICROBUS","BASICO","76001","76834","2022-03-13T00:00:00.000","20","ORIGEN","1","12"
"T.T. DE HONDA","MICROBUS","LUJO","17433","17380","2022-03-02T00:00:00.000","12","TRANSITO","1","10"
"T.T. DE BARRANQUILLA","BUS","LUJO","08001","23001","2022-05-14T00:00:00.000","22","ORIGEN","1","8"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63470","2022-06-20T00:00:00.000","08","ORIGEN","1","1"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15001","2022-01-17T00:00:00.000","19","ORIGEN","1","8"
"T.T. DE MELGAR","MICROBUS","BASICO","25307","11001","2022-03-04T00:00:00.000","12","TRANSITO","1","0"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05425","2022-11-18T00:00:00.000","08","ORIGEN","1","12"
"T.T. DE SANTA MARTA","BUS","LUJO","44430","08001","2022-12-03T00:00:00.000","14","TRANSITO","1","12"
"T.T. DE MEDELLÍN NORTE","BUS","LUJO","05001","08001","2022-09-23T00:00:00.000","07","ORIGEN","1","29"
"T.T. DE BUCARAMANGA","BUS","LUJO","68001","05001","2022-03-04T00:00:00.000","01","ORIGEN","1","1"
"T.T. DE PEREIRA","BUS","LUJO","66001","05001","2022-06-29T00:00:00.000","10","ORIGEN","1","18"
"T.T. DE BOGOTÁ SUR","MICROBUS","LUJO","11001","73001","2022-07-20T00:00:00.000","08","TRANSITO","1","5"
"T.T. DE SOGAMOSO","CAMIONETA","LUJO","15759","15047","2022-08-24T00:00:00.000","14","ORIGEN","1","2"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","68077","2022-09-17T00:00:00.000","17","ORIGEN","1","0"
"T.T. DE SANTA MARTA","BUS","LUJO","44430","08001","2022-12-03T00:00:00.000","12","TRANSITO","1","3"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","50568","2022-05-09T00:00:00.000","22","ORIGEN","1","29"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","86001","86571","2022-01-30T00:00:00.000","13","TRANSITO","1","8"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","86001","86571","2022-01-30T00:00:00.000","13","TRANSITO","1","8"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","86001","86571","2022-01-30T00:00:00.000","13","TRANSITO","1","8"
"T.T. DE PITALITO","MICROBUS","LUJO","41551","41001","2022-01-14T00:00:00.000","15","ORIGEN","1","10"
"T.T. DE VILLAVICENCIO","BUS","LUJO","11001","50711","2022-10-21T00:00:00.000","07","TRANSITO","1","3"
"T.T. DE VILLAVICENCIO","MICROBUS","LUJO","50001","85001","2022-09-27T00:00:00.000","03","ORIGEN","1","4"
"T.T. DE PASTO","CAMPERO","BASICO","52001","52356","2022-06-25T00:00:00.000","10","ORIGEN","1","8"
"T.T. DE PASTO","CAMPERO","BASICO","52001","52356","2022-06-25T00:00:00.000","10","ORIGEN","1","8"
"T.T. DE PASTO","CAMPERO","BASICO","52001","52356","2022-06-25T00:00:00.000","10","ORIGEN","1","8"
"T.T. DE PASTO","CAMPERO","BASICO","52001","52356","2022-06-25T00:00:00.000","10","ORIGEN","1","8"
"T.T. DE MEDELLÍN NORTE","MICROBUS","BASICO","05001","05674","2022-09-30T00:00:00.000","08","ORIGEN","1","18"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","86001","2022-09-03T00:00:00.000","21","ORIGEN","1","18"
"T.T. DE CAUCASIA","BUS","BASICO","05495","05001","2022-11-15T00:00:00.000","23","TRANSITO","1","6"
"T.T. DE HONDA","BUS","LUJO","15572","11001","2022-01-07T00:00:00.000","02","TRANSITO","1","0"
"T.T. DE MAICAO","BUS","LUJO","44430","13430","2022-12-29T00:00:00.000","16","ORIGEN","1","10"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","41001","2022-05-28T00:00:00.000","11","ORIGEN","1","15"
"T.T. DE SANTA MARTA","BUS","LUJO","44430","08001","2022-03-20T00:00:00.000","13","TRANSITO","1","6"
"T.T. DE MEDELLÍN SUR","MICROBUS","BASICO","05001","05030","2022-02-03T00:00:00.000","15","ORIGEN","1","5"
"T.T. DE CALI","MICROBUS","BASICO","76001","76834","2022-11-18T00:00:00.000","14","ORIGEN","1","19"
"T.T. DE CALI","MICROBUS","BASICO","76001","76834","2022-11-18T00:00:00.000","14","ORIGEN","1","19"
"T.T. DE MELGAR","BUS","LUJO","73001","11001","2022-07-18T00:00:00.000","16","TRANSITO","1","5"
"T.T. DE CALI","BUS","LUJO","76001","08001","2022-06-05T00:00:00.000","09","ORIGEN","1","11"
"T.T. DE VALLEDUPAR","BUS","LUJO","20001","23001","2022-04-02T00:00:00.000","04","ORIGEN","1","13"
"T.T. DE MONTERÍA","BUS","LUJO","23001","05001","2022-10-24T00:00:00.000","06","ORIGEN","1","17"
"T.T. DE AGUACHICA","BUS","LUJO","13001","54001","2022-05-02T00:00:00.000","16","TRANSITO","1","7"
"T.T. DE BOGOTÁ SUR","BUS","LUJO","11001","73352","2022-09-23T00:00:00.000","08","TRANSITO","1","3"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","50001","2022-01-11T00:00:00.000","04","ORIGEN","1","9"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15696","2022-02-28T00:00:00.000","13","ORIGEN","1","14"
"T.T. DE TULÚA","BUSETA","BASICO","76834","76823","2022-06-04T00:00:00.000","05","ORIGEN","1","1"
"T.T. DE OCAÑA","CAMIONETA","BASICO","54498","68081","2022-05-16T00:00:00.000","14","ORIGEN","1","3"
"T.T. DE CALI","BUSETA","BASICO","76001","76364","2022-06-29T00:00:00.000","14","ORIGEN","1","10"
"T.T. DE CALI","BUSETA","BASICO","76001","76364","2022-06-29T00:00:00.000","14","ORIGEN","1","10"
"T.T. DE SOGAMOSO","MICROBUS","LUJO","15759","15238","2022-12-30T00:00:00.000","17","ORIGEN","2","37"
"T.T. DE FLORENCIA","BUS","LUJO","18001","17001","2022-12-05T00:00:00.000","17","ORIGEN","1","21"
"T.T. DE BARRANQUILLA","BUS","LUJO","08001","44430","2022-09-25T00:00:00.000","11","ORIGEN","1","6"
"T.T. DE APARTADÓ","MICROBUS","LUJO","05045","05172","2022-06-06T00:00:00.000","13","ORIGEN","1","9"
"T.T. DE AGUACHICA","BUS","LUJO","76001","08001","2022-06-16T00:00:00.000","16","TRANSITO","1","2"
"T.T. DE NEIVA","BUS","LUJO","41001","73555","2022-10-17T00:00:00.000","07","ORIGEN","1","15"
"T.T. DE HONDA","BUS","LUJO","17001","17380","2022-07-20T00:00:00.000","18","TRANSITO","1","1"
"T.T. DE PITALITO","MICROBUS","LUJO","41551","41001","2022-05-23T00:00:00.000","07","ORIGEN","1","2"
"T.T. DE BOGOTÁ SALITRE","CAMIONETA","LUJO","11001","73001","2022-01-12T00:00:00.000","15","ORIGEN","1","8"
"T.T. DE IBAGUÉ","CAMPERO","BASICO","73001","73319","2022-06-16T00:00:00.000","19","ORIGEN","1","9"
"T.T. DE MONTERÍA","MICROBUS","LUJO","23001","23555","2022-09-14T00:00:00.000","12","ORIGEN","1","15"
"T.T. DE SOGAMOSO","BUS","LUJO","15759","15296","2022-05-19T00:00:00.000","12","ORIGEN","1","3"
"T.T. DE VILLAVICENCIO","MICROBUS","LUJO","50001","25181","2022-06-02T00:00:00.000","14","ORIGEN","1","11"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63401","2022-06-18T00:00:00.000","10","ORIGEN","1","9"
"T.T. DE SOGAMOSO","BUS","LUJO","15759","15464","2022-09-09T00:00:00.000","07","ORIGEN","1","7"
"T.T. DE CALI","MICROBUS","BASICO","76001","76111","2022-08-04T00:00:00.000","08","ORIGEN","1","7"
"T.T. DE CALI","MICROBUS","BASICO","76001","76111","2022-08-04T00:00:00.000","08","ORIGEN","1","7"
"T.T. DE CALI","MICROBUS","BASICO","76001","76111","2022-08-04T00:00:00.000","08","ORIGEN","1","7"
"T.T. DE CARTAGENA","BUS","LUJO","13001","05001","2022-11-08T00:00:00.000","21","ORIGEN","1","30"
"T.T. DE PITALITO","BUS","LUJO","41551","41530","2022-06-11T00:00:00.000","15","ORIGEN","1","8"
"T.T. DE FLORENCIA","AUTOMOVIL","LUJO","18001","18753","2022-11-08T00:00:00.000","15","ORIGEN","1","4"
"T.T. DE FLORENCIA","AUTOMOVIL","LUJO","18001","18753","2022-11-08T00:00:00.000","15","ORIGEN","1","4"
"T.T. DE FLORENCIA","AUTOMOVIL","LUJO","18001","18753","2022-11-08T00:00:00.000","15","ORIGEN","1","4"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","86001","86568","2022-01-03T00:00:00.000","09","TRANSITO","1","8"
"T.T. DE SANTA MARTA","BUS","LUJO","47001","47288","2022-04-01T00:00:00.000","13","ORIGEN","1","0"
"T.T. DE CARTAGENA","BUS","LUJO","13001","70001","2022-02-05T00:00:00.000","16","ORIGEN","1","7"
"T.T. DE APARTADÓ","CAMPERO","LUJO","05045","05045","2022-11-21T00:00:00.000","15","ORIGEN","1","8"
"T.T. DE BOGOTÁ NORTE","BUS","LUJO","11001","25326","2022-03-21T00:00:00.000","18","ORIGEN","1","1"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63130","2022-07-03T00:00:00.000","16","ORIGEN","1","4"
"T.T. DE PEREIRA","BUS","LUJO","76147","17001","2022-01-06T00:00:00.000","09","TRANSITO","1","16"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","25151","2022-10-19T00:00:00.000","16","ORIGEN","1","4"
"T.T. DE BARRANQUILLA","BUS","LUJO","08001","23001","2022-03-09T00:00:00.000","21","ORIGEN","1","25"
"T.T. DE MEDELLÍN NORTE","MICROBUS","BASICO","05001","05541","2022-04-08T00:00:00.000","19","ORIGEN","1","10"
"T.T. DE PLANETA RICA","BUS","LUJO","11001","23464","2022-12-23T00:00:00.000","10","TRANSITO","1","3"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15753","2022-09-25T00:00:00.000","16","ORIGEN","1","11"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15753","2022-09-25T00:00:00.000","16","ORIGEN","1","11"
"T.T. DE BOGOTÁ SALITRE","BUSETA","LUJO","11001","73001","2022-12-06T00:00:00.000","11","ORIGEN","1","5"
"T.T. DE NEIVA","BUS","BASICO","41001","41020","2022-10-01T00:00:00.000","12","ORIGEN","1","0"
"T.T. DE PEREIRA","MICROBUS","LUJO","66001","17877","2022-05-23T00:00:00.000","19","ORIGEN","1","2"
"T.T. DE SOCORRO","BUS","BASICO","68755","68001","2022-10-17T00:00:00.000","16","ORIGEN","1","16"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05031","2022-02-22T00:00:00.000","16","ORIGEN","1","18"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","25307","2022-05-28T00:00:00.000","09","ORIGEN","1","17"
"T.T. DE MEDELLÍN NORTE","CAMIONETA","BASICO","05001","05664","2022-09-24T00:00:00.000","07","ORIGEN","1","8"
"T.T. DE MEDELLÍN NORTE","CAMIONETA","BASICO","05001","05664","2022-09-24T00:00:00.000","07","ORIGEN","1","8"
"T.T. DE MEDELLÍN NORTE","CAMIONETA","BASICO","05001","05664","2022-09-24T00:00:00.000","07","ORIGEN","1","8"
"T.T. DE HONDA","MICROBUS","LUJO","17380","73001","2022-06-14T00:00:00.000","09","TRANSITO","1","3"
"T.T. DE CÚCUTA","BUS","LUJO","54001","54518","2022-05-30T00:00:00.000","07","ORIGEN","1","4"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","41396","2022-02-26T00:00:00.000","21","ORIGEN","1","22"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","13001","2022-01-11T00:00:00.000","09","ORIGEN","1","13"
"T.T. DE PEREIRA","BUS","LUJO","66001","73001","2022-01-08T00:00:00.000","15","ORIGEN","1","11"
"T.T. DE BUGA","BUS","LUJO","76111","76147","2022-10-05T00:00:00.000","16","ORIGEN","1","0"
"T.T. DE MONTERÍA","BUS","LUJO","23001","05051","2022-04-25T00:00:00.000","07","ORIGEN","1","2"
"T.T. DE NEIVA","MICROBUS","BASICO","41001","41132","2022-02-26T00:00:00.000","17","ORIGEN","1","11"
"T.T. DE NEIVA","MICROBUS","BASICO","41001","41132","2022-02-26T00:00:00.000","17","ORIGEN","1","11"
"T.T. DE MONTERÍA","BUS","LUJO","23001","05051","2022-11-20T00:00:00.000","11","ORIGEN","1","6"
"T.T. DE APARTADÓ","BUSETA","LUJO","05045","05172","2022-06-24T00:00:00.000","08","ORIGEN","1","8"
"T.T. DE MELGAR","BUS","BASICO","25307","11001","2022-05-23T00:00:00.000","06","TRANSITO","1","2"
"T.T. DE POPAYÁN","CAMIONETA","BASICO","19001","19256","2022-12-19T00:00:00.000","15","ORIGEN","1","8"
"T.T. DE POPAYÁN","CAMIONETA","BASICO","19001","19256","2022-12-19T00:00:00.000","15","ORIGEN","1","8"
"T.T. DE HONDA","CAMIONETA","LUJO","73001","17380","2022-01-03T00:00:00.000","10","TRANSITO","1","3"
"T.T. DE MEDELLÍN NORTE","MICROBUS","BASICO","05001","05321","2022-10-20T00:00:00.000","17","ORIGEN","1","16"
"T.T. DE BOGOTÁ SUR","BUS","LUJO","11001","25001","2022-09-24T00:00:00.000","19","TRANSITO","1","3"
"T.T. DE CALI","BUSETA","BASICO","76001","05001","2022-07-18T00:00:00.000","06","ORIGEN","1","4"
"T.T. DE PLANETA RICA","BUS","LUJO","05001","47001","2022-07-18T00:00:00.000","04","TRANSITO","1","0"
"T.T. DE VILLAGARZÓN","CAMIONETA","BASICO","86571","86001","2022-05-12T00:00:00.000","17","ORIGEN","1","8"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","47001","2022-04-08T00:00:00.000","10","ORIGEN","1","12"
"T.T. DE PITALITO","MICROBUS","LUJO","18001","76001","2022-11-09T00:00:00.000","22","TRANSITO","1","7"
"T.T. DE CALI","MICROBUS","BASICO","76001","19698","2022-06-27T00:00:00.000","06","ORIGEN","1","2"
"T.T. DE CALI","MICROBUS","BASICO","76001","76622","2022-12-04T00:00:00.000","19","ORIGEN","1","1"
"T.T. DE MONTERÍA","BUS","LUJO","23001","05154","2022-02-11T00:00:00.000","16","ORIGEN","1","15"
"T.T. DE LA PLATA","CAMIONETA","BASICO","41396","41001","2022-07-16T00:00:00.000","10","ORIGEN","1","0"
"T.T. DE NEIVA","MICROBUS","BASICO","41001","41676","2022-01-13T00:00:00.000","17","ORIGEN","1","2"
"T.T. DE BOGOTÁ SALITRE","BUSETA","LUJO","11001","25843","2022-10-17T00:00:00.000","08","ORIGEN","1","1"
"T.T. DE PASTO","CAMPERO","BASICO","52001","52720","2022-04-24T00:00:00.000","14","ORIGEN","1","8"
"T.T. DE PASTO","CAMPERO","BASICO","52001","52720","2022-04-24T00:00:00.000","14","ORIGEN","1","8"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15204","2022-08-13T00:00:00.000","11","ORIGEN","1","9"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15204","2022-08-13T00:00:00.000","11","ORIGEN","1","9"
"T.T. DE TULÚA","MICROBUS","BASICO","76001","76113","2022-05-23T00:00:00.000","03","TRANSITO","1","9"
"T.T. DE BARRANQUILLA","BUS","LUJO","08001","13001","2022-02-13T00:00:00.000","22","ORIGEN","1","15"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63401","2022-02-05T00:00:00.000","18","ORIGEN","1","18"
"T.T. DE APARTADÓ","BUSETA","LUJO","05045","27615","2022-01-07T00:00:00.000","10","ORIGEN","1","0"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","25307","2022-01-02T00:00:00.000","11","ORIGEN","1","9"
"T.T. DE MEDELLÍN NORTE","MICROBUS","BASICO","05001","05541","2022-11-07T00:00:00.000","10","ORIGEN","1","6"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","25151","2022-02-15T00:00:00.000","10","ORIGEN","1","3"
"T.T. DE MONTERÍA","MICROBUS","LUJO","23001","23555","2022-08-22T00:00:00.000","12","ORIGEN","1","10"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","68001","2022-04-28T00:00:00.000","11","ORIGEN","1","5"
"T.T. DE MEDELLÍN NORTE","CAMIONETA","BASICO","05001","05887","2022-05-16T00:00:00.000","05","ORIGEN","1","6"
"T.T. DE MEDELLÍN NORTE","CAMIONETA","BASICO","05001","05887","2022-05-16T00:00:00.000","05","ORIGEN","1","6"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05440","2022-04-15T00:00:00.000","20","ORIGEN","1","5"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","73555","2022-07-16T00:00:00.000","06","ORIGEN","1","6"
"T.T. DE CÚCUTA","AUTOMOVIL","LUJO","54001","54874","2022-01-20T00:00:00.000","12","ORIGEN","2","8"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","18001","2022-08-26T00:00:00.000","19","ORIGEN","1","26"
"T.T. DE MEDELLÍN SUR","AUTOMOVIL","BASICO","05001","05282","2022-09-01T00:00:00.000","10","ORIGEN","1","3"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05837","2022-04-12T00:00:00.000","10","ORIGEN","1","40"
"T.T. DE APARTADÓ","BUSETA","LUJO","05045","05172","2022-02-25T00:00:00.000","12","ORIGEN","1","7"
"T.T. DE FUSAGASUGA","MICROBUS","LUJO","11001","25120","2022-04-09T00:00:00.000","13","TRANSITO","1","2"
"T.T. DE SOGAMOSO","MICROBUS","LUJO","15759","15238","2022-06-13T00:00:00.000","10","ORIGEN","1","11"
