"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"YAMAHA","2010","MOTOCICLETA","17","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","1984","AUTOMOVIL","42","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2022","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2016","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2020","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2012","MOTOCICLETA","14","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","3","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2015","CAMIONETA","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2020","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2015","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2016","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2015","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","1986","AUTOMOVIL","40","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2018","MOTOCICLETA","8","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2023","AUTOMOVIL","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2015","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2015","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2011","AUTOMOVIL","16","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2009","MOTOCICLETA","17","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2014","MOTOCICLETA","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"DFSK","2017","CAMIONETA","9","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2007","AUTOMOVIL","19","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2005","AUTOMOVIL","21","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2021","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2015","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2014","MOTOCICLETA","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2022","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2021","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"CFMOTO","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2014","MOTOCICLETA","13","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"ROYAL ENFIELD","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2020","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","3","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2021","AUTOMOVIL","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"TOYOTA","2011","CAMIONETA","15","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2020","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BENELLI","2023","MOTOCICLETA","3","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2010","AUTOMOVIL","16","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"TOYOTA","2020","CAMPERO","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2002","MOTOCICLETA","24","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KTM","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2021","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2016","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2023","AUTOMOVIL","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2016","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2016","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2017","MOTOCICLETA","9","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"TOYOTA","2005","CAMPERO","21","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2012","AUTOMOVIL","15","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2014","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2014","MOTOCICLETA","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2017","MOTOCICLETA","9","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2021","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KTM","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2015","CAMPERO","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2008","MOTOCICLETA","18","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KTM","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2019","AUTOMOVIL","7","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"TOYOTA","2023","AUTOMOVIL","3","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2020","MOTOCICLETA","7","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2015","MOTOCICLETA","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2021","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2021","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2021","AUTOMOVIL","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2015","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"SSANGYONG","2012","CAMIONETA","14","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2008","MOTOCICLETA","18","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","1985","AUTOMOVIL","41","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2010","MOTOCICLETA","16","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2017","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2017","MOTOCICLETA","9","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2018","MOTOCICLETA","8","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"KTM","2023","MOTOCICLETA","3","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2014","MOTOCICLETA","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2014","MOTOCICLETA","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2018","MOTOCICLETA","8","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2012","MOTOCICLETA","14","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2018","CAMIONETA","8","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2016","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2013","MOTOCICLETA","13","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2011","MOTOCICLETA","15","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2015","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2010","AUTOMOVIL","16","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2020","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"DAEWOO","1997","CAMIONETA","29","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2022","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2020","AUTOMOVIL","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2015","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2021","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2021","MOTOCICLETA","6","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2019","MOTOCICLETA","7","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2019","MOTOCICLETA","7","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"ROYAL ENFIELD","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2019","MOTOCICLETA","7","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2017","MOTOCICLETA","9","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2018","CAMIONETA","9","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2016","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2022","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"INTERNATIONAL","2012","TRACTOCAMION","14","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2021","AUTOMOVIL","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"QINGQI","2012","MOTOCICLETA","13","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"TOYOTA","2006","AUTOMOVIL","13","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BENELLI","2021","MOTOCICLETA","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AUDI","2015","CAMIONETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2013","MOTOCICLETA","13","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"TOYOTA","2021","AUTOMOVIL","5","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2023","MOTOCICLETA","3","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2014","MOTOCICLETA","13","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2011","AUTOMOVIL","15","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"INTERNATIONAL","1970","CAMION","42","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2016","MOTOCICLETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2019","MOTOCICLETA","8","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"INTERNATIONAL","2013","TRACTOCAMION","14","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"LINTEX","2016","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2023","MOTOCICLETA","3","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2019","MOTOCICLETA","8","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AKT","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"SKODA","2010","AUTOMOVIL","16","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"RENAULT","2023","CAMIONETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2022","MOTOCICLETA","4","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"TOYOTA","2013","CAMIONETA","11","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"BAJAJ","2014","MOTOCICLETA","12","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"AUTECO","2008","MOTOCICLETA","18","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
"YAMAHA","2016","MOTOCICLETA","10","11/2022","CON HERIDOS","BOGOTA D.C.","BOGOTA","SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA"
